mu phi sigma rho nu
-0.3484 0.9549 0.1736 -0.2579 16
-0.3820 0.9622 0.1288 -0.3071 9
-0.4133 0.9710 0.1250 -0.3161 12
-0.4068 0.9648 0.1517 -0.3337 10
-0.3989 0.9398 0.2066 -0.4713 16
-0.3896 0.9472 0.2132 -0.4259 17
-0.4504 0.9655 0.1490 -0.2680 8
-0.3545 0.9564 0.1911 -0.4224 20
-0.4542 0.9538 0.1905 -0.3917 10
-0.5114 0.9660 0.1728 -0.3240 11
-0.4488 0.9574 0.1743 -0.3245 9
-0.3952 0.9587 0.1675 -0.1989 12
-0.4691 0.9630 0.1648 -0.3462 9
-0.4121 0.9524 0.1718 -0.3072 15
-0.3966 0.9389 0.1984 -0.1930 12
-0.4117 0.9496 0.1909 -0.3583 15
-0.3185 0.9517 0.1646 -0.2384 18
-0.3434 0.9488 0.1866 -0.3087 19
-0.4308 0.9655 0.1454 -0.3166 10
-0.4034 0.9666 0.1523 -0.2205 10
-0.3473 0.9679 0.1532 -0.4175 14
-0.4033 0.9538 0.2078 -0.4508 17
-0.4130 0.9652 0.1672 -0.3051 14
-0.4932 0.9639 0.1596 -0.1712 7
-0.3835 0.9737 0.1414 -0.4199 11
-0.4560 0.9597 0.1933 -0.3442 9
-0.4543 0.9593 0.1864 -0.2118 11
-0.3826 0.9732 0.1626 -0.4048 24
-0.4164 0.9533 0.1915 -0.2888 10
-0.3727 0.9566 0.1780 -0.3103 15
-0.4209 0.9733 0.1414 -0.4980 14
-0.3829 0.9656 0.1592 -0.3261 13
-0.3305 0.9518 0.2025 -0.3498 44
-0.4121 0.9517 0.1950 -0.3681 9
-0.4230 0.9712 0.1498 -0.2872 9
-0.3630 0.9458 0.2013 -0.2162 13
-0.3635 0.9593 0.1633 -0.4175 17
-0.5057 0.9502 0.1831 -0.3392 9
-0.4223 0.9641 0.1654 -0.2810 10
-0.3939 0.9618 0.1654 -0.3296 14
-0.3886 0.9699 0.1494 -0.3631 13
-0.3856 0.9435 0.2195 -0.3778 21
-0.3110 0.9481 0.2179 -0.4318 33
-0.3777 0.9603 0.1885 -0.2930 12
-0.3675 0.9607 0.1697 -0.3640 12
-0.3032 0.9521 0.2211 -0.3086 40
-0.4101 0.9825 0.1269 -0.4626 9
-0.4266 0.9527 0.1963 -0.4194 15
-0.4294 0.9515 0.2024 -0.3399 11
-0.4966 0.9651 0.1767 -0.2697 9
-0.4186 0.9574 0.1788 -0.3589 10
-0.4567 0.9660 0.1594 -0.4684 10
