mu phi sigma nu
-0.4330 0.9631 0.1492 9
-0.5301 0.9888 0.1394 18
-0.3530 0.9894 0.1420 10
-0.3567 0.9742 0.1322 7
-0.4053 0.9762 0.1241 11
-0.3749 0.9648 0.1799 13
-0.2774 0.9807 0.1187 12
-0.3947 0.9760 0.1184 14
-0.4738 0.9839 0.1074 11
-0.5685 0.9862 0.1179 12
-0.3746 0.9824 0.1323 9
-0.3056 0.9791 0.1319 13
-0.5085 0.9862 0.0973 9
-0.2519 0.9797 0.1255 11
-0.4480 0.9875 0.0913 9
-0.4766 0.9681 0.1333 10
-0.6820 0.9885 0.0900 9
-0.5125 0.9841 0.1301 10
-0.3255 0.9765 0.1218 12
0.0459 0.9842 0.1113 20
-0.0194 0.9844 0.1069 11
-0.5957 0.9756 0.1297 12
-0.2289 0.9806 0.1298 22
-0.9849 0.9976 0.0971 11
-0.4223 0.9853 0.1360 11
-0.4831 0.9763 0.1203 7
-0.3316 0.9873 0.1127 13
0.4242 0.9975 0.1040 7
-0.4085 0.9807 0.1051 9
-0.4653 0.9805 0.1082 15
-0.3343 0.9884 0.0923 7
-0.2423 0.9716 0.1314 20
-0.3423 0.9869 0.1070 9
-0.5581 0.9914 0.1046 9
-0.1707 0.9846 0.1062 6
-0.5144 0.9837 0.1014 11
-0.2365 0.9887 0.0916 9
-0.4472 0.9721 0.1224 14
-0.8691 0.9807 0.1118 12
-0.4824 0.9886 0.1242 8
-0.4682 0.9837 0.0934 10
-0.3502 0.9863 0.1043 7
-0.5401 0.9700 0.1371 11
-0.3361 0.9903 0.0803 12
-0.0411 0.9845 0.1090 12
-0.2766 0.9742 0.1511 12
0.1314 0.9912 0.1263 8
-0.1223 0.9825 0.1377 25
-0.2047 0.9917 0.1029 10
-0.3811 0.9745 0.1439 10
-0.1155 0.9854 0.1160 16
-0.5105 0.9761 0.1224 8
-0.3397 0.9797 0.1226 15
-0.4122 0.9828 0.1165 10
-0.8528 0.9984 0.0974 10
-0.1737 0.9777 0.1366 12
-0.4884 0.9779 0.1288 12
-0.2920 0.9830 0.1127 10
-0.4527 0.9747 0.1435 13
-0.5239 0.9840 0.1406 12
-0.5303 0.9692 0.1177 7
-0.5228 0.9715 0.1329 8
-0.2576 0.9780 0.1305 9
-0.3944 0.9833 0.1096 14
-0.5643 0.9861 0.1005 10
-0.5564 0.9879 0.0954 10
-0.3528 0.9747 0.1105 10
-0.3318 0.9913 0.0805 14
-0.2788 0.9798 0.1095 9
-0.5121 0.9714 0.1230 9
-0.5832 0.9872 0.0844 8
-0.4032 0.9745 0.1478 17
-0.3002 0.9735 0.1374 17
-0.4160 0.9872 0.1020 14
-0.2774 0.9862 0.1245 10
-0.3642 0.9765 0.1440 9
-0.1774 0.9886 0.1208 12
-0.3447 0.9832 0.1201 14
-0.2488 0.9747 0.1000 8
-0.4499 0.9798 0.1238 14
-0.2840 0.9934 0.1169 14
-0.4844 0.9791 0.1063 12
-0.4820 0.9736 0.1179 12
-0.2858 0.9861 0.1092 9
-0.1113 0.9798 0.1174 12
-0.5012 0.9751 0.1261 10
-0.5960 0.9800 0.1021 6
-0.4971 0.9882 0.0805 11
-0.6674 0.9863 0.1134 11
-0.4371 0.9688 0.1405 11
-0.3566 0.9889 0.0902 11
-0.5473 0.9822 0.1086 9
-0.5750 0.9850 0.1083 10
-0.5263 0.9890 0.0953 9
-0.5930 0.9885 0.1108 8
-0.2044 0.9796 0.1403 22
-0.2582 0.9848 0.1104 8
-0.2058 0.9812 0.0898 11
-0.1787 0.9765 0.1446 24
-0.5246 0.9889 0.1056 9
-0.6407 0.9671 0.1308 8
-0.3134 0.9806 0.1229 11
-0.6220 0.9862 0.1154 9
-0.5931 0.9791 0.1384 13
-0.3129 0.9764 0.1242 12
-0.3159 0.9773 0.1046 10
-0.4034 0.9895 0.0972 10
-0.1072 0.9889 0.0975 19
-0.3541 0.9806 0.1075 13
-0.7007 0.9873 0.0913 9
-0.3262 0.9878 0.1048 11
-0.2433 0.9730 0.1227 11
-0.3672 0.9746 0.1150 12
-0.4932 0.9867 0.1111 22
-0.3894 0.9767 0.1360 10
-0.3683 0.9936 0.0961 11
-0.0013 0.9835 0.1171 12
-0.5190 0.9779 0.1160 9
-0.2948 0.9796 0.1105 13
-0.1136 0.9855 0.1224 10
-0.4116 0.9844 0.1127 13
-0.4167 0.9796 0.1111 7
-0.6530 0.9890 0.1235 15
-0.3685 0.9816 0.1070 10
-0.5444 0.9697 0.1355 7
-0.2718 0.9905 0.1126 19
-0.3629 0.9753 0.1133 11
-0.4703 0.9880 0.0865 9
-0.2772 0.9818 0.1097 12
-0.4112 0.9812 0.1221 13
-0.0679 0.9854 0.0937 13
-0.4625 0.9724 0.1601 12
-0.3275 0.9756 0.1467 10
-0.4469 0.9891 0.1023 7
-0.2921 0.9715 0.1302 10
2.4900 0.9990 0.1021 10
-0.5546 0.9797 0.1178 9
-0.0698 0.9947 0.0902 10
-0.3259 0.9865 0.1226 12
-0.0705 0.9943 0.1120 10
-0.5003 0.9769 0.1086 11
-0.7272 0.9792 0.1163 9
-0.3662 0.9823 0.1296 14
-0.0926 0.9836 0.1030 10
-0.3337 0.9727 0.1384 14
-0.2214 0.9736 0.1277 15
-0.1922 0.9862 0.0951 16
0.0983 0.9870 0.1291 9
-0.5772 0.9880 0.1245 17
-0.3542 0.9847 0.1199 10
-0.3478 0.9873 0.1095 9
-0.1669 0.9862 0.1119 9
-0.4622 0.9657 0.1643 14
-0.2012 0.9702 0.1415 17
-0.0712 0.9828 0.1014 10
-0.4462 0.9806 0.1259 10
-0.4971 0.9865 0.0931 15
-0.4764 0.9813 0.1199 7
0.1320 0.9932 0.1053 7
-0.2713 0.9767 0.1452 12
-0.3813 0.9831 0.1245 14
-0.6026 0.9895 0.0872 13
-0.3758 0.9851 0.1009 8
1.9846 0.9981 0.0902 8
-0.4025 0.9881 0.1049 11
-0.6341 0.9786 0.1198 9
-0.3008 0.9761 0.1433 11
0.2599 0.9911 0.0951 15
-0.2953 0.9722 0.1573 15
-0.4068 0.9790 0.1128 10
-0.3530 0.9824 0.1073 13
-0.4362 0.9843 0.1314 12
-0.3401 0.9836 0.1082 10
-0.4137 0.9711 0.1633 15
-0.4175 0.9864 0.1143 8
-0.3814 0.9795 0.1241 12
-0.5042 0.9825 0.1059 13
-0.2657 0.9768 0.1359 10
0.0563 0.9935 0.1185 10
-0.4191 0.9869 0.0968 11
-0.4216 0.9820 0.1099 8
-0.4187 0.9811 0.1183 10
-0.5359 0.9881 0.1008 7
-0.3472 0.9881 0.0997 11
-0.2800 0.9884 0.0819 9
-0.3583 0.9915 0.0952 10
-0.4315 0.9760 0.1278 19
-0.3538 0.9879 0.1026 10
-0.4635 0.9825 0.1263 12
0.0473 0.9990 0.0976 9
-0.5333 0.9874 0.0916 7
-0.4430 0.9868 0.1116 9
-0.3652 0.9748 0.1122 10
0.2681 0.9990 0.0991 13
-0.3504 0.9773 0.1107 11
-0.3120 0.9809 0.1088 8
0.1345 0.9924 0.0976 9
-0.3477 0.9868 0.1243 9
-0.0994 0.9851 0.1000 15
-0.4867 0.9936 0.1020 18
-0.3222 0.9915 0.0989 9
-0.1917 0.9773 0.1224 8
0.1375 0.9934 0.1121 19
-0.2925 0.9805 0.1194 12
-0.3393 0.9885 0.0965 9
-0.1873 0.9887 0.0967 9
-0.3326 0.9952 0.0865 10
0.0290 0.9948 0.0914 16
-0.2837 0.9833 0.1184 18
-0.1130 0.9924 0.1065 8
-0.1952 0.9878 0.1059 8
-0.5172 0.9696 0.1418 11
-0.4014 0.9706 0.1466 8
-0.3749 0.9696 0.1427 10
-0.6036 0.9787 0.1298 14
-0.4605 0.9851 0.1062 11
-0.6238 0.9840 0.0940 11
-0.5844 0.9708 0.1518 14
-0.2121 0.9788 0.1032 12
-0.3868 0.9883 0.0971 9
-0.1983 0.9851 0.1218 10
-0.4808 0.9841 0.1014 8
-0.4667 0.9826 0.1088 12
-0.6638 0.9888 0.1182 12
-0.5588 0.9942 0.0931 10
-0.2921 0.9941 0.1113 10
-0.5201 0.9824 0.1149 7
-0.2125 0.9897 0.0950 9
0.0969 0.9891 0.1069 13
-0.4599 0.9878 0.1217 9
-0.4544 0.9757 0.1238 12
-0.4413 0.9591 0.1585 11
-0.3615 0.9901 0.1107 9
-0.0553 0.9917 0.0934 12
-0.4614 0.9890 0.0769 8
-0.5612 0.9842 0.0963 7
-0.5490 0.9878 0.1118 7
