mu phi sigma rho nu
-0.3513 0.9822 0.1288 -0.4157 13
-0.3749 0.9779 0.1316 -0.4445 11
-0.3292 0.9791 0.1401 -0.4312 12
-0.3047 0.9741 0.1420 -0.4087 13
-0.3154 0.9763 0.1452 -0.4014 12
-0.3219 0.9766 0.1458 -0.3715 14
-0.3164 0.9767 0.1458 -0.4274 12
-0.3429 0.9789 0.1409 -0.4164 19
-0.3401 0.9781 0.1433 -0.4089 17
-0.3098 0.9749 0.1423 -0.3815 22
-0.3284 0.9776 0.1435 -0.4016 15
-0.2916 0.9762 0.1441 -0.4183 11
-0.3148 0.9772 0.1431 -0.4235 12
-0.3208 0.9723 0.1434 -0.3880 16
-0.3224 0.9754 0.1418 -0.3407 17
-0.3450 0.9787 0.1367 -0.3580 12
-0.3582 0.9794 0.1365 -0.3535 13
-0.3460 0.9815 0.1389 -0.3852 15
-0.3775 0.9828 0.1372 -0.3967 14
-0.3513 0.9774 0.1391 -0.4080 13
-0.3622 0.9794 0.1358 -0.4001 10
-0.3426 0.9773 0.1404 -0.3799 10
-0.3205 0.9772 0.1369 -0.3705 11
-0.3736 0.9776 0.1354 -0.3897 15
-0.3602 0.9770 0.1314 -0.3243 9
-0.3478 0.9763 0.1318 -0.3232 11
-0.3819 0.9765 0.1329 -0.3425 12
-0.3704 0.9773 0.1303 -0.3021 13
-0.3619 0.9771 0.1309 -0.3160 12
-0.4057 0.9774 0.1311 -0.2682 13
-0.3857 0.9762 0.1361 -0.3047 9
-0.3556 0.9776 0.1394 -0.2629 13
-0.3602 0.9773 0.1413 -0.2673 13
-0.3870 0.9743 0.1381 -0.2525 14
-0.3527 0.9760 0.1410 -0.2855 12
-0.3639 0.9767 0.1439 -0.2827 9
-0.3800 0.9780 0.1442 -0.3152 15
-0.3765 0.9773 0.1438 -0.3474 11
-0.3779 0.9805 0.1412 -0.3563 12
-0.3626 0.9770 0.1387 -0.3320 12
-0.3692 0.9766 0.1392 -0.3658 11
-0.3421 0.9811 0.1406 -0.3929 12
-0.3159 0.9771 0.1401 -0.3805 10
-0.3190 0.9763 0.1400 -0.3760 13
-0.3320 0.9789 0.1388 -0.4026 12
-0.3343 0.9756 0.1393 -0.3704 12
-0.3368 0.9772 0.1384 -0.3620 12
-0.3546 0.9762 0.1338 -0.3499 12
-0.3153 0.9784 0.1337 -0.3191 14
-0.3432 0.9763 0.1317 -0.3468 12
-0.3512 0.9762 0.1342 -0.3409 14
-0.3605 0.9737 0.1335 -0.3612 14
-0.3718 0.9766 0.1353 -0.3010 13
-0.3469 0.9760 0.1380 -0.3563 13
-0.3426 0.9751 0.1389 -0.3687 12
-0.3470 0.9747 0.1361 -0.3714 14
-0.3750 0.9777 0.1300 -0.3939 11
-0.3380 0.9773 0.1334 -0.4001 12
-0.3566 0.9775 0.1313 -0.3723 15
-0.3393 0.9772 0.1328 -0.3704 14
-0.3819 0.9763 0.1358 -0.3914 11
-0.3426 0.9777 0.1330 -0.3971 10
-0.3450 0.9780 0.1324 -0.3998 12
-0.3872 0.9767 0.1356 -0.3908 11
-0.3747 0.9776 0.1335 -0.3643 13
-0.3515 0.9761 0.1349 -0.3733 9
-0.3388 0.9719 0.1432 -0.4192 10
-0.3479 0.9712 0.1443 -0.4169 12
-0.3506 0.9702 0.1460 -0.3937 10
-0.3595 0.9719 0.1456 -0.3488 13
-0.3728 0.9724 0.1418 -0.3301 15
-0.3747 0.9728 0.1495 -0.3462 11
-0.3600 0.9674 0.1516 -0.3200 14
-0.3522 0.9659 0.1586 -0.3542 11
-0.3529 0.9654 0.1590 -0.3356 16
-0.3721 0.9701 0.1584 -0.3495 11
-0.3816 0.9651 0.1575 -0.3165 12
-0.3749 0.9647 0.1591 -0.3281 14
-0.3808 0.9654 0.1554 -0.3173 10
-0.3574 0.9670 0.1582 -0.2963 12
-0.3477 0.9660 0.1580 -0.3272 14
-0.3741 0.9661 0.1542 -0.3421 15
-0.3664 0.9661 0.1513 -0.3352 12
-0.3875 0.9652 0.1603 -0.3511 17
-0.3480 0.9649 0.1562 -0.3362 13
-0.3518 0.9657 0.1578 -0.3560 11
-0.3500 0.9654 0.1594 -0.3579 16
-0.3485 0.9652 0.1618 -0.3317 11
-0.3387 0.9632 0.1609 -0.3728 12
-0.3490 0.9647 0.1607 -0.3634 13
-0.3508 0.9657 0.1605 -0.3375 12
-0.3431 0.9644 0.1615 -0.3292 12
-0.3524 0.9652 0.1623 -0.3198 11
-0.3428 0.9647 0.1532 -0.3113 15
-0.3619 0.9662 0.1517 -0.2874 10
-0.3747 0.9672 0.1508 -0.3151 22
-0.3785 0.9715 0.1516 -0.2954 12
-0.3727 0.9712 0.1547 -0.2822 12
-0.3495 0.9711 0.1542 -0.2489 9
-0.3671 0.9711 0.1518 -0.2276 10
-0.3656 0.9709 0.1529 -0.2341 11
-0.3828 0.9659 0.1552 -0.2765 13
-0.3853 0.9714 0.1502 -0.2310 11
-0.3617 0.9720 0.1493 -0.1831 11
-0.3761 0.9712 0.1535 -0.1746 14
-0.3717 0.9673 0.1470 -0.1737 10
-0.3802 0.9686 0.1499 -0.2161 10
-0.3804 0.9711 0.1440 -0.1928 13
-0.3782 0.9743 0.1434 -0.1944 11
-0.3751 0.9738 0.1421 -0.2116 12
-0.3985 0.9729 0.1424 -0.2401 13
-0.3735 0.9726 0.1468 -0.2353 11
-0.3882 0.9732 0.1394 -0.2351 11
-0.3794 0.9705 0.1425 -0.2290 11
-0.4030 0.9712 0.1423 -0.1892 11
-0.3983 0.9754 0.1411 -0.1455 11
-0.3722 0.9744 0.1393 -0.1668 10
-0.3909 0.9763 0.1376 -0.1626 11
-0.3886 0.9732 0.1341 -0.1386 10
-0.3870 0.9769 0.1366 -0.1749 9
-0.4186 0.9763 0.1342 -0.1281 10
-0.3868 0.9769 0.1329 -0.1928 11
-0.3874 0.9774 0.1307 -0.1362 12
-0.3971 0.9750 0.1355 -0.1728 10
-0.3785 0.9740 0.1307 -0.1552 11
-0.4145 0.9776 0.1304 -0.2315 13
-0.4135 0.9737 0.1360 -0.2265 9
-0.3849 0.9703 0.1448 -0.2407 13
-0.4182 0.9760 0.1385 -0.1703 10
-0.4419 0.9763 0.1341 -0.1709 14
-0.4175 0.9758 0.1329 -0.1330 12
-0.3940 0.9741 0.1363 -0.1396 11
-0.4133 0.9749 0.1383 -0.1533 10
-0.4331 0.9765 0.1367 -0.1956 11
-0.4097 0.9767 0.1340 -0.1705 9
-0.4400 0.9767 0.1326 -0.1492 11
-0.4016 0.9722 0.1361 -0.2033 9
-0.4275 0.9719 0.1367 -0.1471 13
-0.4204 0.9719 0.1389 -0.2311 10
-0.4162 0.9755 0.1389 -0.1962 11
-0.3969 0.9705 0.1434 -0.2065 13
-0.4219 0.9692 0.1485 -0.1615 10
-0.4303 0.9667 0.1528 -0.1997 11
-0.4261 0.9705 0.1484 -0.1519 11
-0.4085 0.9680 0.1486 -0.1786 13
-0.4252 0.9708 0.1473 -0.1424 10
-0.4302 0.9679 0.1476 -0.1317 12
-0.4409 0.9692 0.1421 -0.1001 9
-0.4477 0.9702 0.1403 -0.1423 11
-0.4107 0.9676 0.1489 -0.1570 11
