mu phi sigma rho nu
-0.5114 0.9678 0.1567 -0.3029 9
-0.5080 0.9640 0.1569 -0.2968 11
-0.5199 0.9694 0.1599 -0.2942 10
-0.4978 0.9644 0.1614 -0.2701 11
-0.5020 0.9621 0.1603 -0.2764 9
-0.4846 0.9602 0.1662 -0.2383 10
-0.5094 0.9565 0.1711 -0.2501 9
-0.4801 0.9594 0.1656 -0.2286 12
-0.4678 0.9621 0.1598 -0.2638 12
-0.4594 0.9638 0.1599 -0.2184 11
-0.4719 0.9619 0.1577 -0.2211 9
-0.5054 0.9628 0.1576 -0.1818 10
-0.4885 0.9638 0.1556 -0.1877 9
-0.4959 0.9635 0.1564 -0.1625 9
-0.5019 0.9628 0.1524 -0.2129 10
-0.4938 0.9640 0.1529 -0.1743 8
-0.5026 0.9633 0.1525 -0.1617 8
-0.4866 0.9634 0.1539 -0.1763 8
-0.4888 0.9655 0.1543 -0.1861 9
-0.5108 0.9638 0.1581 -0.1999 8
-0.5214 0.9640 0.1533 -0.1871 9
-0.5259 0.9650 0.1572 -0.2007 8
-0.5112 0.9656 0.1532 -0.1759 9
-0.5221 0.9635 0.1535 -0.2103 8
-0.5224 0.9700 0.1478 -0.2251 8
-0.5122 0.9664 0.1496 -0.1998 9
-0.5174 0.9702 0.1527 -0.2275 8
-0.5375 0.9657 0.1535 -0.1860 11
-0.5105 0.9698 0.1532 -0.2260 9
-0.5040 0.9719 0.1445 -0.2065 9
-0.4965 0.9719 0.1472 -0.2053 9
-0.5048 0.9684 0.1427 -0.1974 8
-0.4972 0.9733 0.1458 -0.2093 10
-0.4833 0.9730 0.1416 -0.2105 11
-0.4859 0.9741 0.1376 -0.1817 11
-0.4928 0.9702 0.1397 -0.2041 9
-0.4806 0.9737 0.1375 -0.1721 9
-0.4883 0.9705 0.1327 -0.1911 9
-0.4808 0.9719 0.1335 -0.1606 9
-0.4801 0.9748 0.1368 -0.1609 9
-0.4908 0.9740 0.1371 -0.1440 10
-0.5106 0.9721 0.1396 -0.1819 7
-0.5040 0.9732 0.1368 -0.1505 8
-0.5182 0.9739 0.1372 -0.1660 6
-0.5177 0.9737 0.1383 -0.2250 8
-0.4901 0.9737 0.1343 -0.2759 8
-0.4825 0.9702 0.1354 -0.2107 8
-0.4913 0.9737 0.1324 -0.2363 8
-0.4927 0.9762 0.1267 -0.1734 9
-0.4949 0.9743 0.1213 -0.1647 9
-0.4949 0.9752 0.1181 -0.1499 9
-0.4739 0.9782 0.1236 -0.1924 9
-0.5204 0.9732 0.1214 -0.1847 8
-0.5101 0.9791 0.1178 -0.2105 10
-0.5073 0.9765 0.1178 -0.2327 11
-0.5086 0.9783 0.1211 -0.2051 9
-0.4978 0.9773 0.1167 -0.1818 9
-0.4842 0.9769 0.1148 -0.2119 9
-0.4866 0.9790 0.1189 -0.2359 8
-0.5073 0.9758 0.1196 -0.2167 8
-0.5176 0.9755 0.1221 -0.2432 9
-0.5059 0.9772 0.1242 -0.2226 8
-0.5052 0.9763 0.1290 -0.2641 9
-0.5346 0.9747 0.1279 -0.2616 6
-0.5410 0.9771 0.1246 -0.2373 9
-0.5206 0.9768 0.1241 -0.2957 7
-0.4931 0.9792 0.1253 -0.2716 11
-0.4907 0.9755 0.1175 -0.2979 7
-0.4831 0.9804 0.1177 -0.2829 9
-0.5044 0.9779 0.1135 -0.3147 7
-0.5134 0.9806 0.1132 -0.2922 9
-0.4949 0.9822 0.1136 -0.3164 9
-0.4827 0.9780 0.1148 -0.3123 9
-0.5049 0.9785 0.1164 -0.2940 10
-0.5064 0.9816 0.1153 -0.3266 8
-0.4742 0.9787 0.1096 -0.2732 9
-0.5352 0.9787 0.1093 -0.2214 10
-0.5041 0.9784 0.1114 -0.2606 8
-0.4914 0.9754 0.1132 -0.2579 11
-0.4914 0.9766 0.1141 -0.2373 10
-0.5016 0.9800 0.1141 -0.2639 9
-0.5092 0.9801 0.1122 -0.2714 8
-0.4960 0.9788 0.1132 -0.2653 9
-0.5103 0.9781 0.1156 -0.2602 8
-0.5267 0.9765 0.1153 -0.2820 9
-0.5045 0.9777 0.1117 -0.2880 9
-0.5080 0.9791 0.1127 -0.2401 8
-0.5314 0.9808 0.1125 -0.2702 7
-0.5102 0.9826 0.1113 -0.2948 8
-0.5410 0.9828 0.1071 -0.2997 9
-0.4833 0.9802 0.1072 -0.3093 9
-0.4821 0.9810 0.1097 -0.3235 8
-0.4933 0.9846 0.1069 -0.3418 9
-0.4931 0.9835 0.1059 -0.3668 8
-0.4668 0.9840 0.1066 -0.3459 7
-0.5024 0.9851 0.1083 -0.3788 10
-0.5086 0.9801 0.1115 -0.3725 8
-0.4890 0.9794 0.1144 -0.4156 9
-0.4801 0.9808 0.1148 -0.3751 7
-0.4846 0.9804 0.1105 -0.3740 9
-0.4776 0.9834 0.1123 -0.3907 9
-0.4931 0.9836 0.1151 -0.4138 11
-0.5053 0.9830 0.1141 -0.3873 9
-0.4945 0.9809 0.1132 -0.3652 7
-0.4889 0.9812 0.1111 -0.3528 7
-0.4716 0.9818 0.1104 -0.3589 6
-0.4816 0.9795 0.1064 -0.3772 8
-0.4696 0.9798 0.1088 -0.3795 8
-0.4842 0.9821 0.1052 -0.3397 9
-0.4820 0.9851 0.1042 -0.3336 9
-0.4724 0.9841 0.1044 -0.3349 9
-0.4383 0.9811 0.1048 -0.3669 9
-0.4617 0.9822 0.1075 -0.4068 11
-0.4693 0.9824 0.1106 -0.3963 9
-0.4718 0.9846 0.1090 -0.3790 10
-0.4623 0.9846 0.1078 -0.3486 10
-0.4683 0.9848 0.1058 -0.3516 9
-0.4970 0.9795 0.1108 -0.3863 8
-0.4817 0.9792 0.1087 -0.4238 7
-0.4717 0.9801 0.1094 -0.4068 10
-0.4364 0.9804 0.1109 -0.3858 8
-0.5127 0.9803 0.1168 -0.4330 11
-0.4824 0.9783 0.1154 -0.4339 7
-0.4579 0.9784 0.1164 -0.4634 8
-0.5282 0.9828 0.1185 -0.4713 8
-0.5014 0.9779 0.1149 -0.4392 8
-0.4635 0.9787 0.1133 -0.4469 10
-0.4734 0.9784 0.1127 -0.4209 8
-0.4918 0.9813 0.1099 -0.3913 9
-0.4918 0.9785 0.1125 -0.3741 7
-0.5066 0.9775 0.1099 -0.3671 7
-0.4533 0.9782 0.1129 -0.3644 8
-0.4665 0.9786 0.1133 -0.3314 7
-0.5126 0.9805 0.1088 -0.3033 9
-0.5035 0.9797 0.1077 -0.3479 8
-0.4904 0.9815 0.1055 -0.3349 8
-0.4839 0.9842 0.1063 -0.3690 8
-0.4852 0.9819 0.1083 -0.3757 8
-0.4611 0.9806 0.1081 -0.3911 7
-0.4831 0.9811 0.1076 -0.4002 8
-0.4594 0.9783 0.1169 -0.3672 7
-0.4802 0.9789 0.1153 -0.3941 7
-0.4896 0.9831 0.1096 -0.3681 8
-0.4994 0.9835 0.1126 -0.3579 8
-0.5203 0.9797 0.1118 -0.3694 8
-0.4943 0.9803 0.1106 -0.3649 8
-0.4922 0.9835 0.1093 -0.3443 8
-0.4631 0.9810 0.1166 -0.3297 8
-0.4906 0.9781 0.1180 -0.3317 7
-0.5131 0.9792 0.1176 -0.3201 9
-0.4968 0.9770 0.1194 -0.3618 8
-0.4703 0.9747 0.1200 -0.3234 6
-0.4801 0.9785 0.1174 -0.3301 9
-0.4577 0.9788 0.1191 -0.2820 8
-0.4950 0.9787 0.1156 -0.2566 8
-0.4917 0.9786 0.1196 -0.2806 9
-0.5060 0.9771 0.1179 -0.3180 8
-0.4731 0.9788 0.1227 -0.2899 9
-0.5000 0.9761 0.1195 -0.2769 8
-0.4803 0.9798 0.1180 -0.2839 8
-0.4452 0.9778 0.1185 -0.2866 8
-0.4999 0.9772 0.1174 -0.3127 8
-0.4741 0.9787 0.1192 -0.3127 9
-0.4668 0.9768 0.1217 -0.2476 7
-0.4790 0.9757 0.1174 -0.2444 8
-0.4507 0.9775 0.1173 -0.2758 8
-0.4655 0.9775 0.1190 -0.2690 7
-0.4958 0.9759 0.1171 -0.2673 7
-0.4615 0.9732 0.1186 -0.2416 8
-0.4821 0.9759 0.1204 -0.2525 8
-0.4675 0.9755 0.1179 -0.2579 8
-0.4358 0.9725 0.1203 -0.2441 7
-0.4655 0.9776 0.1191 -0.3103 8
-0.4518 0.9781 0.1177 -0.2889 7
-0.4870 0.9783 0.1186 -0.3045 8
-0.4805 0.9741 0.1232 -0.2689 9
-0.4720 0.9712 0.1235 -0.2517 8
-0.4713 0.9714 0.1237 -0.2820 9
-0.4672 0.9719 0.1205 -0.2173 10
-0.4649 0.9764 0.1217 -0.1846 8
-0.4787 0.9723 0.1201 -0.1814 9
-0.4511 0.9775 0.1180 -0.1481 7
-0.4696 0.9749 0.1168 -0.1667 8
-0.4534 0.9763 0.1152 -0.1796 8
-0.4500 0.9767 0.1194 -0.2109 9
-0.4475 0.9793 0.1178 -0.2227 8
-0.4664 0.9761 0.1192 -0.2086 9
-0.4457 0.9778 0.1223 -0.2217 9
-0.4604 0.9757 0.1226 -0.2265 9
-0.4554 0.9756 0.1229 -0.2041 8
-0.4507 0.9754 0.1191 -0.1973 8
-0.4670 0.9792 0.1225 -0.2365 10
-0.4600 0.9779 0.1184 -0.1933 8
-0.4607 0.9795 0.1223 -0.2090 10
-0.4601 0.9737 0.1295 -0.1898 9
-0.4715 0.9719 0.1314 -0.2437 11
-0.4470 0.9719 0.1338 -0.2591 9
-0.4266 0.9677 0.1415 -0.2615 8
-0.4329 0.9712 0.1396 -0.2679 10
-0.4474 0.9732 0.1350 -0.2825 8
-0.4529 0.9729 0.1344 -0.2716 7
-0.4620 0.9685 0.1390 -0.2544 8
-0.4476 0.9686 0.1375 -0.2103 8
-0.4630 0.9738 0.1397 -0.1941 9
-0.4444 0.9742 0.1350 -0.1567 8
-0.4334 0.9741 0.1310 -0.1452 8
-0.4704 0.9747 0.1362 -0.0930 12
-0.4634 0.9753 0.1300 -0.0718 10
-0.4527 0.9767 0.1264 -0.0793 9
-0.4599 0.9771 0.1279 -0.0718 12
-0.4526 0.9748 0.1230 -0.1495 10
-0.4606 0.9788 0.1268 -0.1554 8
-0.4638 0.9721 0.1297 -0.1063 9
-0.4560 0.9741 0.1245 -0.0650 10
-0.4648 0.9746 0.1231 -0.1522 8
-0.4701 0.9758 0.1265 -0.1924 10
-0.4594 0.9774 0.1277 -0.1449 9
-0.4849 0.9741 0.1263 -0.1632 8
-0.4702 0.9745 0.1277 -0.1911 9
-0.4811 0.9766 0.1304 -0.2623 8
-0.4537 0.9767 0.1295 -0.2364 7
-0.4905 0.9762 0.1319 -0.2169 8
-0.4721 0.9734 0.1328 -0.2458 11
-0.4548 0.9736 0.1299 -0.2026 9
-0.4893 0.9737 0.1330 -0.2322 9
-0.4710 0.9754 0.1320 -0.1782 11
-0.4809 0.9741 0.1311 -0.1376 8
-0.4899 0.9752 0.1329 -0.1577 8
-0.4842 0.9708 0.1338 -0.2181 9
-0.4923 0.9761 0.1312 -0.1770 8
-0.4880 0.9774 0.1280 -0.1954 9
-0.4599 0.9754 0.1342 -0.1580 8
-0.4771 0.9736 0.1296 -0.1594 6
-0.4923 0.9757 0.1324 -0.1673 7
-0.4904 0.9732 0.1328 -0.1665 7
-0.4798 0.9729 0.1311 -0.1494 9
-0.5134 0.9758 0.1291 -0.1485 9
-0.4676 0.9732 0.1337 -0.1257 7
-0.4849 0.9759 0.1352 -0.1640 9
-0.4806 0.9761 0.1367 -0.1209 7
-0.4966 0.9732 0.1354 -0.1372 7
-0.4867 0.9734 0.1342 -0.1277 10
-0.4905 0.9739 0.1359 -0.1665 9
-0.4822 0.9760 0.1355 -0.1865 9
-0.5004 0.9738 0.1339 -0.1547 8
-0.4804 0.9775 0.1313 -0.2064 7
-0.4997 0.9784 0.1356 -0.2317 8
-0.4789 0.9763 0.1356 -0.2454 10
-0.5033 0.9706 0.1378 -0.2137 9
-0.4520 0.9677 0.1453 -0.1961 7
-0.4859 0.9695 0.1419 -0.2141 6
-0.4759 0.9680 0.1499 -0.2358 8
-0.4826 0.9708 0.1534 -0.2396 8
-0.5068 0.9724 0.1459 -0.2466 8
-0.5019 0.9742 0.1425 -0.2550 8
-0.5067 0.9747 0.1385 -0.2321 7
-0.4780 0.9737 0.1369 -0.1484 8
-0.4924 0.9735 0.1312 -0.1642 9
-0.4976 0.9763 0.1394 -0.1783 11
-0.4889 0.9748 0.1383 -0.1560 9
-0.4880 0.9705 0.1404 -0.1418 7
-0.4965 0.9742 0.1389 -0.1436 8
-0.4865 0.9692 0.1400 -0.1580 9
-0.4965 0.9702 0.1406 -0.1584 10
-0.4996 0.9686 0.1437 -0.1819 9
-0.4885 0.9716 0.1435 -0.1892 10
-0.5055 0.9702 0.1466 -0.1942 11
-0.4828 0.9681 0.1450 -0.1870 9
-0.4934 0.9684 0.1443 -0.1679 10
-0.4819 0.9685 0.1419 -0.1782 9
-0.4979 0.9732 0.1390 -0.1543 10
-0.4848 0.9692 0.1417 -0.1900 9
-0.4849 0.9686 0.1429 -0.1914 10
-0.4908 0.9707 0.1444 -0.1788 9
-0.4914 0.9662 0.1445 -0.1874 7
-0.4661 0.9664 0.1497 -0.2141 8
-0.4875 0.9708 0.1479 -0.2204 9
-0.4868 0.9705 0.1504 -0.2661 11
-0.4909 0.9661 0.1532 -0.2576 8
-0.4889 0.9648 0.1519 -0.2568 10
-0.4832 0.9654 0.1558 -0.2036 9
-0.4731 0.9639 0.1557 -0.1968 10
-0.4449 0.9648 0.1555 -0.1964 7
-0.4761 0.9628 0.1562 -0.2171 10
-0.4668 0.9635 0.1574 -0.2206 9
-0.4592 0.9689 0.1490 -0.1962 8
-0.4680 0.9681 0.1442 -0.1746 10
-0.4529 0.9709 0.1484 -0.1917 10
-0.4545 0.9660 0.1467 -0.2027 9
-0.4607 0.9654 0.1452 -0.2061 10
-0.4818 0.9707 0.1400 -0.1817 8
-0.4792 0.9685 0.1388 -0.1688 9
-0.4917 0.9685 0.1374 -0.1613 10
-0.4642 0.9664 0.1414 -0.1717 10
-0.4665 0.9715 0.1365 -0.1792 7
-0.4568 0.9679 0.1416 -0.1832 10
-0.4688 0.9683 0.1360 -0.2191 12
-0.4679 0.9692 0.1374 -0.1918 10
-0.4581 0.9690 0.1393 -0.1499 11
-0.4603 0.9713 0.1376 -0.1492 10
-0.4450 0.9670 0.1412 -0.1664 10
-0.4676 0.9678 0.1404 -0.2136 9
-0.4495 0.9707 0.1430 -0.2498 8
-0.4622 0.9666 0.1489 -0.2714 8
-0.4701 0.9673 0.1482 -0.2507 11
-0.4496 0.9708 0.1460 -0.2663 8
-0.4790 0.9692 0.1390 -0.2442 10
-0.4672 0.9702 0.1323 -0.2727 10
-0.4633 0.9708 0.1329 -0.2138 7
-0.4638 0.9734 0.1324 -0.2194 9
-0.4601 0.9746 0.1352 -0.2442 8
-0.4625 0.9720 0.1374 -0.2126 7
-0.4750 0.9685 0.1321 -0.1672 8
-0.4653 0.9692 0.1322 -0.1533 8
-0.4780 0.9723 0.1324 -0.2070 9
-0.4928 0.9692 0.1326 -0.1826 12
-0.4559 0.9719 0.1347 -0.1660 11
-0.4610 0.9721 0.1352 -0.1476 10
-0.4706 0.9744 0.1306 -0.1972 9
-0.4457 0.9731 0.1340 -0.2234 10
-0.4742 0.9747 0.1347 -0.2677 8
-0.4807 0.9744 0.1396 -0.2304 10
-0.4700 0.9705 0.1360 -0.2109 10
-0.4724 0.9699 0.1367 -0.2054 9
-0.4651 0.9697 0.1399 -0.2148 9
-0.4491 0.9692 0.1413 -0.2196 10
-0.4605 0.9732 0.1413 -0.2287 9
-0.4506 0.9686 0.1419 -0.1841 8
-0.4643 0.9669 0.1433 -0.1997 9
-0.4520 0.9667 0.1446 -0.2037 10
-0.4572 0.9708 0.1457 -0.1964 9
-0.4657 0.9700 0.1495 -0.2336 10
-0.4653 0.9647 0.1516 -0.2896 9
-0.4592 0.9641 0.1527 -0.2349 8
-0.4582 0.9648 0.1522 -0.2312 9
-0.4639 0.9640 0.1516 -0.2424 10
-0.4704 0.9703 0.1547 -0.2902 11
-0.4538 0.9664 0.1530 -0.2316 12
-0.4660 0.9665 0.1496 -0.2528 9
-0.4652 0.9708 0.1479 -0.2188 7
-0.4515 0.9669 0.1530 -0.2456 8
-0.4339 0.9663 0.1564 -0.2475 9
-0.4665 0.9647 0.1538 -0.2072 8
-0.4581 0.9654 0.1504 -0.2036 10
-0.4473 0.9697 0.1444 -0.1940 10
-0.4352 0.9733 0.1440 -0.1888 10
-0.4291 0.9692 0.1468 -0.1601 11
-0.4465 0.9695 0.1439 -0.1206 9
-0.4258 0.9745 0.1381 -0.1537 8
-0.4277 0.9732 0.1361 -0.2000 9
-0.4342 0.9736 0.1337 -0.2150 10
-0.4282 0.9741 0.1333 -0.2005 10
-0.4009 0.9712 0.1358 -0.2021 9
-0.4196 0.9745 0.1422 -0.1837 10
-0.4360 0.9755 0.1453 -0.1497 11
-0.4076 0.9724 0.1396 -0.1385 11
-0.4404 0.9700 0.1454 -0.1225 9
-0.4298 0.9695 0.1443 -0.1831 10
-0.4466 0.9732 0.1404 -0.1556 7
-0.4381 0.9708 0.1397 -0.1576 9
-0.4203 0.9723 0.1429 -0.1903 13
-0.4248 0.9732 0.1407 -0.1898 10
-0.4378 0.9705 0.1435 -0.2002 9
-0.4461 0.9738 0.1373 -0.2279 12
-0.4299 0.9706 0.1353 -0.2559 10
-0.4304 0.9753 0.1320 -0.2296 12
-0.4342 0.9762 0.1328 -0.2632 10
-0.4166 0.9763 0.1367 -0.2700 13
-0.4529 0.9732 0.1340 -0.2387 10
-0.4245 0.9763 0.1310 -0.2102 12
-0.4036 0.9741 0.1300 -0.1852 13
-0.4246 0.9755 0.1322 -0.1651 9
-0.4468 0.9702 0.1352 -0.1973 9
-0.4182 0.9745 0.1375 -0.1474 15
-0.4038 0.9742 0.1398 -0.2119 10
-0.4302 0.9723 0.1391 -0.1760 9
-0.4348 0.9686 0.1379 -0.1630 10
-0.4248 0.9739 0.1365 -0.1536 10
-0.4296 0.9699 0.1395 -0.1731 12
-0.4331 0.9686 0.1397 -0.1535 9
-0.4218 0.9686 0.1428 -0.0895 12
-0.4440 0.9683 0.1419 -0.1639 11
-0.4393 0.9686 0.1451 -0.1415 13
-0.4307 0.9678 0.1431 -0.1569 8
-0.4430 0.9699 0.1456 -0.1804 9
-0.4422 0.9706 0.1487 -0.1666 11
-0.4539 0.9671 0.1446 -0.1496 10
-0.4457 0.9748 0.1392 -0.1561 11
-0.4273 0.9750 0.1355 -0.1556 9
-0.4614 0.9719 0.1340 -0.1894 12
-0.4428 0.9742 0.1335 -0.2104 9
-0.4164 0.9773 0.1326 -0.2108 9
-0.4238 0.9754 0.1322 -0.1545 9
-0.4205 0.9788 0.1316 -0.1613 10
-0.4012 0.9751 0.1301 -0.1517 12
-0.3941 0.9787 0.1284 -0.2283 12
-0.4256 0.9777 0.1320 -0.2189 12
-0.4064 0.9785 0.1324 -0.2435 9
-0.4223 0.9777 0.1350 -0.1807 11
-0.3912 0.9762 0.1358 -0.1622 12
-0.3810 0.9746 0.1344 -0.1092 10
-0.4000 0.9740 0.1345 -0.1762 11
-0.4064 0.9745 0.1334 -0.1834 11
-0.4018 0.9774 0.1384 -0.1629 11
-0.3933 0.9719 0.1407 -0.1491 9
-0.3809 0.9705 0.1447 -0.1702 11
-0.3983 0.9748 0.1454 -0.1747 12
-0.3730 0.9692 0.1479 -0.2311 11
-0.4182 0.9754 0.1485 -0.2337 11
-0.4055 0.9747 0.1431 -0.1847 9
-0.4116 0.9712 0.1430 -0.2288 11
-0.4030 0.9745 0.1404 -0.1768 10
-0.4022 0.9713 0.1440 -0.1816 10
-0.3836 0.9702 0.1465 -0.1330 12
-0.3826 0.9738 0.1467 -0.1728 12
-0.3954 0.9733 0.1441 -0.1566 13
-0.3927 0.9754 0.1430 -0.1987 12
-0.4108 0.9705 0.1458 -0.1995 13
-0.3873 0.9712 0.1435 -0.2352 10
-0.3961 0.9758 0.1442 -0.2502 10
-0.3724 0.9752 0.1481 -0.2730 10
-0.3912 0.9773 0.1424 -0.2370 10
-0.3873 0.9767 0.1380 -0.2550 12
-0.3915 0.9774 0.1412 -0.2587 9
-0.3850 0.9773 0.1432 -0.2562 11
-0.3909 0.9771 0.1359 -0.2534 11
-0.3838 0.9778 0.1338 -0.2317 10
-0.3734 0.9765 0.1348 -0.2236 11
-0.3897 0.9792 0.1323 -0.2451 13
-0.3801 0.9773 0.1334 -0.2396 12
-0.4111 0.9757 0.1331 -0.2459 8
-0.4225 0.9754 0.1339 -0.2480 10
-0.4074 0.9752 0.1346 -0.2286 12
-0.4010 0.9760 0.1314 -0.2145 16
-0.4146 0.9759 0.1316 -0.2043 14
-0.4047 0.9782 0.1365 -0.2273 13
-0.3978 0.9749 0.1387 -0.1788 14
-0.4042 0.9750 0.1364 -0.1962 15
-0.4252 0.9770 0.1393 -0.2022 10
-0.4191 0.9744 0.1402 -0.2094 9
-0.4148 0.9758 0.1413 -0.2385 13
-0.4042 0.9746 0.1376 -0.1683 11
-0.4193 0.9785 0.1369 -0.1944 10
-0.4206 0.9753 0.1401 -0.1628 13
-0.4389 0.9766 0.1419 -0.1181 11
-0.4328 0.9756 0.1412 -0.1235 9
-0.4310 0.9740 0.1420 -0.1680 10
-0.4175 0.9741 0.1478 -0.1463 11
-0.4384 0.9751 0.1477 -0.1798 10
-0.4376 0.9756 0.1461 -0.2016 9
-0.4539 0.9752 0.1389 -0.1908 8
-0.4693 0.9776 0.1440 -0.2040 13
-0.4370 0.9764 0.1445 -0.2148 10
-0.4189 0.9769 0.1468 -0.2586 10
-0.4453 0.9766 0.1471 -0.2478 10
-0.4251 0.9741 0.1449 -0.2165 12
-0.4323 0.9736 0.1433 -0.1891 9
-0.4322 0.9767 0.1458 -0.1876 8
-0.4352 0.9756 0.1511 -0.1800 8
-0.4371 0.9753 0.1482 -0.2000 11
-0.4198 0.9741 0.1456 -0.2059 11
-0.4271 0.9783 0.1367 -0.1607 9
-0.4369 0.9757 0.1369 -0.1750 9
-0.4357 0.9792 0.1376 -0.1758 9
-0.4516 0.9763 0.1339 -0.2623 10
-0.4281 0.9769 0.1356 -0.2247 9
-0.4142 0.9792 0.1311 -0.1767 13
-0.4177 0.9768 0.1282 -0.1893 9
-0.4355 0.9778 0.1316 -0.1781 10
-0.4298 0.9774 0.1315 -0.1885 12
-0.4062 0.9772 0.1314 -0.1929 10
-0.4235 0.9773 0.1338 -0.2443 10
-0.4338 0.9777 0.1339 -0.2145 9
-0.4384 0.9774 0.1339 -0.2686 11
-0.4180 0.9773 0.1326 -0.2424 10
-0.4305 0.9773 0.1360 -0.2515 11
-0.4278 0.9766 0.1377 -0.2768 12
-0.4373 0.9791 0.1363 -0.2482 11
-0.4117 0.9763 0.1342 -0.2447 9
-0.4202 0.9755 0.1396 -0.2715 10
-0.4426 0.9754 0.1401 -0.2678 10
-0.4439 0.9746 0.1396 -0.2613 11
-0.4592 0.9714 0.1477 -0.2745 11
-0.4359 0.9760 0.1495 -0.2578 11
-0.4345 0.9712 0.1493 -0.2363 11
-0.4387 0.9747 0.1496 -0.2523 9
-0.4648 0.9762 0.1482 -0.2873 13
-0.4601 0.9766 0.1478 -0.2890 9
-0.4421 0.9763 0.1499 -0.2333 10
-0.4546 0.9743 0.1585 -0.2654 8
-0.4440 0.9699 0.1565 -0.2499 10
-0.4447 0.9701 0.1537 -0.2737 9
-0.4550 0.9754 0.1501 -0.2689 10
-0.4351 0.9752 0.1465 -0.2692 10
-0.4599 0.9766 0.1441 -0.2776 8
-0.4288 0.9763 0.1455 -0.2539 12
-0.4366 0.9759 0.1460 -0.3005 10
-0.4208 0.9711 0.1502 -0.2902 11
-0.4548 0.9737 0.1471 -0.2864 8
-0.4780 0.9709 0.1515 -0.2505 10
-0.4491 0.9744 0.1521 -0.2505 11
-0.4511 0.9697 0.1517 -0.2935 10
-0.4663 0.9680 0.1497 -0.2666 10
-0.4560 0.9721 0.1516 -0.2731 9
-0.4388 0.9683 0.1530 -0.2935 11
-0.4280 0.9665 0.1558 -0.2856 9
-0.4294 0.9667 0.1588 -0.2894 11
-0.4283 0.9708 0.1548 -0.2526 10
-0.4291 0.9704 0.1534 -0.2840 9
-0.4429 0.9671 0.1551 -0.2550 8
-0.4409 0.9692 0.1502 -0.2792 10
-0.4232 0.9739 0.1482 -0.2806 9
-0.4227 0.9712 0.1472 -0.3043 8
-0.4275 0.9760 0.1469 -0.3147 14
-0.4369 0.9762 0.1413 -0.2861 8
-0.4402 0.9727 0.1425 -0.2951 11
-0.4070 0.9719 0.1448 -0.2835 12
-0.4055 0.9763 0.1440 -0.2914 9
-0.4570 0.9727 0.1447 -0.3041 9
-0.4295 0.9766 0.1448 -0.3170 9
-0.4395 0.9761 0.1495 -0.3393 9
-0.4245 0.9742 0.1447 -0.3159 10
-0.4366 0.9776 0.1462 -0.3067 11
-0.4319 0.9768 0.1429 -0.3033 11
-0.4181 0.9752 0.1363 -0.2602 13
-0.4299 0.9758 0.1434 -0.2864 15
-0.4398 0.9727 0.1407 -0.2722 10
-0.4368 0.9757 0.1443 -0.3064 10
-0.4271 0.9712 0.1439 -0.3545 10
-0.4283 0.9719 0.1426 -0.3802 10
-0.4422 0.9724 0.1423 -0.3574 10
-0.4127 0.9747 0.1434 -0.3331 11
-0.4363 0.9770 0.1424 -0.3317 9
-0.4711 0.9723 0.1436 -0.3053 12
-0.4318 0.9763 0.1435 -0.3266 9
-0.4423 0.9776 0.1433 -0.2951 10
-0.4332 0.9771 0.1382 -0.2834 10
-0.4363 0.9772 0.1395 -0.3204 11
-0.4315 0.9779 0.1375 -0.2920 7
-0.4301 0.9776 0.1337 -0.3333 9
-0.4154 0.9787 0.1338 -0.3781 9
-0.4408 0.9770 0.1280 -0.3691 9
-0.4128 0.9797 0.1314 -0.3885 11
-0.4038 0.9800 0.1323 -0.4191 10
-0.4421 0.9799 0.1325 -0.3887 11
-0.4261 0.9791 0.1315 -0.3791 10
-0.4294 0.9796 0.1329 -0.3985 13
-0.4278 0.9778 0.1326 -0.4284 9
-0.4228 0.9814 0.1329 -0.3962 9
-0.4252 0.9794 0.1335 -0.4076 11
-0.4269 0.9773 0.1351 -0.4384 11
-0.4513 0.9774 0.1332 -0.4258 9
-0.4274 0.9807 0.1326 -0.4137 10
-0.4287 0.9747 0.1339 -0.3969 8
-0.4621 0.9775 0.1299 -0.4252 8
-0.4448 0.9814 0.1312 -0.4203 9
-0.4333 0.9814 0.1310 -0.3763 13
-0.4318 0.9806 0.1256 -0.3339 11
-0.4213 0.9775 0.1290 -0.3523 10
-0.4430 0.9782 0.1250 -0.3542 9
-0.4281 0.9787 0.1262 -0.3355 10
-0.4429 0.9784 0.1236 -0.3523 9
-0.4610 0.9829 0.1187 -0.3515 11
-0.4073 0.9802 0.1221 -0.3812 8
-0.4397 0.9794 0.1219 -0.3634 11
-0.4760 0.9817 0.1219 -0.3851 13
-0.4600 0.9797 0.1231 -0.3680 10
-0.4244 0.9812 0.1236 -0.3762 8
-0.4866 0.9803 0.1203 -0.3949 10
-0.4384 0.9838 0.1277 -0.4055 9
-0.4997 0.9795 0.1265 -0.4044 9
-0.4594 0.9817 0.1249 -0.4155 10
-0.4312 0.9787 0.1312 -0.4234 11
-0.4746 0.9785 0.1316 -0.4345 11
-0.4596 0.9787 0.1281 -0.4170 10
-0.4548 0.9815 0.1305 -0.4326 10
-0.4795 0.9787 0.1277 -0.5102 9
-0.4606 0.9841 0.1230 -0.4696 10
-0.4972 0.9827 0.1212 -0.4429 8
-0.4453 0.9825 0.1259 -0.4552 9
-0.4843 0.9790 0.1308 -0.4839 10
-0.4971 0.9815 0.1321 -0.4962 14
