mu phi sigma nu
-0.5666 0.9762 0.1507 11
-0.6300 0.9732 0.1521 14
-0.1930 0.9749 0.1499 10
-0.3101 0.9781 0.1514 12
-0.3196 0.9657 0.1503 10
-0.4219 0.9730 0.1549 11
-0.4284 0.9658 0.1522 19
-0.3336 0.9762 0.1500 11
-0.3530 0.9683 0.1422 12
-0.4850 0.9770 0.1472 9
-0.4031 0.9718 0.1487 11
-0.4408 0.9796 0.1503 12
-0.5435 0.9771 0.1484 10
-0.6437 0.9760 0.1507 10
-0.2082 0.9819 0.1433 10
-0.3308 0.9709 0.1442 9
-0.2918 0.9736 0.1457 9
-0.5094 0.9697 0.1434 10
-0.4564 0.9697 0.1402 9
-0.7145 0.9759 0.1408 9
-0.3751 0.9673 0.1397 10
-0.6482 0.9658 0.1405 13
-0.3229 0.9737 0.1370 9
-0.3293 0.9718 0.1383 10
-0.4714 0.9817 0.1396 11
-0.5420 0.9758 0.1437 13
-0.2971 0.9759 0.1432 8
-0.4300 0.9684 0.1478 12
-0.3818 0.9743 0.1463 10
-0.3557 0.9649 0.1477 10
-0.4423 0.9682 0.1484 12
-0.4645 0.9662 0.1480 13
-0.4542 0.9753 0.1443 12
-0.3248 0.9795 0.1435 10
-0.5434 0.9708 0.1416 10
-0.2079 0.9735 0.1410 13
-0.6178 0.9796 0.1374 13
-0.3973 0.9726 0.1358 10
-0.2938 0.9684 0.1334 14
-0.4783 0.9791 0.1408 13
-0.4102 0.9794 0.1413 12
-0.2195 0.9694 0.1374 10
-0.2084 0.9846 0.1392 10
-0.3977 0.9688 0.1372 13
-0.5883 0.9748 0.1390 12
-0.4503 0.9715 0.1348 10
-0.4228 0.9729 0.1424 10
-0.2801 0.9723 0.1398 12
-0.2061 0.9717 0.1407 10
-0.5108 0.9713 0.1439 11
-0.2953 0.9774 0.1431 13
-0.6253 0.9785 0.1468 9
-0.5613 0.9711 0.1422 11
-0.3968 0.9708 0.1432 10
-0.3752 0.9758 0.1402 9
-0.4876 0.9661 0.1451 10
-0.4636 0.9707 0.1399 14
-0.4766 0.9722 0.1392 8
-0.5832 0.9808 0.1469 9
-0.7337 0.9795 0.1443 9
-0.4615 0.9673 0.1405 10
-0.4563 0.9759 0.1374 9
-0.6196 0.9743 0.1414 9
-0.3057 0.9703 0.1468 10
-0.4858 0.9748 0.1502 10
-0.4220 0.9730 0.1551 9
-0.2252 0.9700 0.1519 9
-0.6096 0.9677 0.1492 11
-0.2864 0.9665 0.1460 9
-0.3756 0.9689 0.1481 9
-0.3344 0.9716 0.1551 10
-0.2884 0.9697 0.1529 11
-0.1420 0.9637 0.1519 10
-0.3225 0.9663 0.1478 10
-0.4872 0.9692 0.1519 12
-0.5722 0.9752 0.1481 13
-0.3869 0.9640 0.1471 11
-0.4584 0.9700 0.1510 12
-0.3132 0.9745 0.1502 12
-0.4770 0.9667 0.1476 13
-0.4530 0.9628 0.1541 9
-0.4676 0.9652 0.1490 11
-0.5723 0.9709 0.1512 9
-0.1773 0.9797 0.1530 9
-0.5610 0.9821 0.1540 12
-0.8374 0.9820 0.1561 11
-0.2839 0.9748 0.1485 13
-0.1541 0.9717 0.1487 13
-0.3364 0.9794 0.1458 11
-0.4902 0.9729 0.1517 13
-0.4042 0.9691 0.1531 11
-0.2751 0.9729 0.1538 14
-0.4128 0.9588 0.1563 14
-0.4246 0.9688 0.1576 10
-0.4947 0.9730 0.1546 11
-0.4835 0.9745 0.1513 12
-0.1346 0.9720 0.1505 11
-0.4417 0.9718 0.1504 15
-0.2806 0.9718 0.1425 13
-0.3473 0.9736 0.1463 10
-0.2944 0.9765 0.1420 11
-0.5746 0.9746 0.1353 10
-0.2914 0.9704 0.1322 10
-0.3718 0.9797 0.1361 11
-0.4640 0.9729 0.1340 9
-0.3111 0.9776 0.1334 10
-0.3814 0.9689 0.1314 12
-0.5156 0.9805 0.1291 12
-0.1467 0.9747 0.1276 14
-0.3710 0.9789 0.1352 14
-0.1483 0.9774 0.1292 15
-0.2971 0.9793 0.1271 13
-0.3217 0.9761 0.1309 11
-0.5363 0.9772 0.1300 15
-0.3991 0.9755 0.1288 12
-0.2822 0.9769 0.1290 11
-0.4219 0.9781 0.1340 13
-0.3899 0.9777 0.1337 12
-0.3586 0.9691 0.1329 14
-0.2340 0.9705 0.1385 11
-0.3594 0.9726 0.1394 12
-0.3651 0.9703 0.1369 17
-0.1619 0.9744 0.1407 12
-0.2548 0.9701 0.1440 11
-0.3531 0.9709 0.1435 11
-0.3497 0.9657 0.1410 9
-0.3466 0.9742 0.1363 14
-0.4686 0.9772 0.1378 11
-0.5188 0.9748 0.1361 12
-0.2196 0.9794 0.1375 13
-0.3078 0.9710 0.1353 15
-0.3487 0.9723 0.1332 18
-0.2894 0.9776 0.1345 13
-0.4088 0.9862 0.1350 11
-0.2214 0.9716 0.1324 13
-0.2846 0.9776 0.1319 11
-0.2662 0.9827 0.1369 12
-0.0787 0.9736 0.1368 14
-0.3853 0.9749 0.1326 11
-0.4887 0.9726 0.1372 13
-0.5439 0.9837 0.1372 15
-0.4721 0.9728 0.1320 13
-0.3535 0.9824 0.1262 15
-0.5421 0.9763 0.1299 9
-0.3311 0.9778 0.1258 14
-0.4064 0.9863 0.1245 15
-0.3659 0.9842 0.1240 11
-0.3889 0.9844 0.1270 15
-0.5266 0.9876 0.1293 15
-0.7055 0.9821 0.1285 10
-0.4945 0.9684 0.1299 13
-0.3942 0.9744 0.1328 14
-0.5151 0.9767 0.1325 11
-0.4336 0.9726 0.1343 16
-0.2479 0.9873 0.1304 16
-0.3220 0.9741 0.1343 12
-0.2911 0.9756 0.1280 13
-0.2814 0.9764 0.1300 12
-0.1417 0.9737 0.1327 19
-0.4906 0.9754 0.1357 18
-0.5697 0.9810 0.1355 11
-0.2979 0.9787 0.1331 16
-0.3153 0.9771 0.1336 12
-0.2897 0.9781 0.1351 16
-0.1207 0.9725 0.1314 17
-0.5040 0.9686 0.1315 15
-0.1480 0.9704 0.1311 16
-0.4305 0.9718 0.1277 13
-0.3055 0.9732 0.1281 16
-0.6227 0.9814 0.1289 15
-0.3053 0.9683 0.1286 11
-0.3534 0.9769 0.1295 12
-0.4630 0.9802 0.1254 11
-0.2652 0.9807 0.1295 12
-0.4665 0.9731 0.1280 13
-0.3662 0.9807 0.1253 13
-0.4688 0.9776 0.1270 14
-0.3876 0.9712 0.1273 12
-0.2529 0.9771 0.1258 11
-0.2434 0.9842 0.1254 14
-0.6422 0.9816 0.1252 15
-0.5115 0.9828 0.1300 15
-0.0614 0.9751 0.1276 13
-0.3574 0.9827 0.1257 14
-0.2390 0.9789 0.1304 14
-0.2908 0.9750 0.1302 17
-0.4818 0.9704 0.1315 13
-0.4104 0.9757 0.1314 14
-0.4703 0.9722 0.1350 9
-0.4979 0.9769 0.1369 13
-0.2964 0.9701 0.1335 11
-0.4785 0.9821 0.1346 10
-0.2059 0.9857 0.1342 18
-0.4882 0.9799 0.1345 11
-0.3280 0.9741 0.1322 11
-0.3123 0.9853 0.1418 12
0.0729 0.9839 0.1419 11
-0.5170 0.9773 0.1408 10
-0.2584 0.9697 0.1394 11
-0.2139 0.9730 0.1368 14
-0.5094 0.9745 0.1412 10
-0.3827 0.9728 0.1411 12
-0.2353 0.9766 0.1367 15
-0.4516 0.9763 0.1353 17
-0.6024 0.9804 0.1434 14
-0.0367 0.9777 0.1463 13
-0.3007 0.9679 0.1462 15
-0.4624 0.9652 0.1484 16
-0.2545 0.9746 0.1483 14
-0.2410 0.9768 0.1380 13
-0.3996 0.9739 0.1452 15
-0.2834 0.9694 0.1447 14
-0.3492 0.9705 0.1446 11
-0.3998 0.9687 0.1476 16
-0.2550 0.9813 0.1480 15
-0.2495 0.9720 0.1449 18
-0.3463 0.9770 0.1470 18
-0.2953 0.9678 0.1483 11
-0.4966 0.9720 0.1489 15
-0.5057 0.9766 0.1510 12
-0.3690 0.9677 0.1458 12
-0.5315 0.9723 0.1468 11
-0.3250 0.9616 0.1448 15
-0.5624 0.9820 0.1461 14
-0.3558 0.9636 0.1474 16
