mu phi sigma nu
-0.3436 0.9808 0.1215 19
-0.5598 0.9855 0.1200 14
-0.3098 0.9812 0.1190 16
-0.3760 0.9758 0.1201 19
-0.2305 0.9832 0.1196 12
-0.5535 0.9809 0.1227 18
-0.5853 0.9829 0.1198 17
-0.3415 0.9822 0.1244 16
-0.2894 0.9802 0.1281 13
-0.2806 0.9702 0.1273 12
-0.4168 0.9831 0.1311 12
-0.4134 0.9743 0.1343 11
-0.3030 0.9814 0.1389 9
-0.1496 0.9832 0.1349 11
-0.5490 0.9748 0.1377 14
-0.2471 0.9813 0.1329 11
-0.3591 0.9805 0.1345 11
-0.2534 0.9780 0.1346 12
-0.4538 0.9695 0.1380 16
-0.2234 0.9705 0.1344 14
-0.3629 0.9707 0.1356 13
-0.3654 0.9769 0.1328 23
-0.3631 0.9778 0.1308 15
-0.1348 0.9842 0.1315 12
-0.2387 0.9787 0.1331 11
-0.3405 0.9731 0.1283 12
-0.3618 0.9721 0.1337 12
-0.4182 0.9824 0.1355 15
-0.1981 0.9740 0.1366 13
-0.2432 0.9694 0.1414 11
-0.2264 0.9790 0.1423 14
-0.4357 0.9746 0.1454 10
-0.4918 0.9717 0.1446 14
-0.2934 0.9671 0.1432 15
-0.4087 0.9888 0.1409 16
-0.5281 0.9760 0.1402 13
-0.3485 0.9827 0.1359 12
-0.2388 0.9646 0.1351 11
-0.3930 0.9698 0.1357 16
-0.2069 0.9750 0.1373 11
-0.3072 0.9687 0.1363 14
-0.4087 0.9739 0.1346 18
-0.3055 0.9750 0.1360 18
-0.4140 0.9667 0.1344 15
-0.2739 0.9671 0.1374 14
-0.3560 0.9852 0.1401 16
-0.0004 0.9766 0.1401 13
-0.1577 0.9768 0.1421 16
-0.4692 0.9771 0.1404 16
-0.4009 0.9710 0.1407 10
-0.2629 0.9794 0.1392 15
-0.1469 0.9822 0.1349 14
-0.6071 0.9836 0.1334 16
-0.4027 0.9757 0.1345 11
-0.6363 0.9789 0.1370 11
-0.4881 0.9745 0.1369 14
-0.4601 0.9816 0.1359 11
-0.5653 0.9797 0.1351 11
-0.4943 0.9792 0.1345 11
-0.1822 0.9772 0.1382 11
-0.5468 0.9821 0.1375 15
-0.4859 0.9770 0.1328 11
-0.2749 0.9845 0.1335 13
-0.5153 0.9816 0.1364 11
-0.3473 0.9807 0.1346 9
-0.2205 0.9729 0.1361 12
-0.2923 0.9856 0.1349 12
-0.3419 0.9806 0.1331 11
-0.4681 0.9804 0.1304 9
-0.1802 0.9757 0.1319 10
-0.4165 0.9818 0.1286 13
-0.2419 0.9790 0.1286 11
-0.2341 0.9801 0.1301 10
-0.2716 0.9863 0.1320 11
-0.2672 0.9810 0.1343 11
-0.2744 0.9744 0.1323 14
-0.3223 0.9737 0.1309 15
-0.4220 0.9789 0.1337 14
-0.3487 0.9776 0.1353 11
-0.1683 0.9819 0.1336 13
-0.4495 0.9767 0.1291 12
-0.3443 0.9784 0.1253 14
-0.4617 0.9764 0.1270 12
-0.3244 0.9884 0.1253 14
-0.1073 0.9804 0.1249 15
-0.6182 0.9864 0.1241 14
-0.2160 0.9783 0.1292 13
-0.3200 0.9806 0.1247 18
-0.3619 0.9774 0.1254 14
-0.3678 0.9787 0.1262 13
-0.1913 0.9823 0.1296 18
-0.4394 0.9806 0.1321 10
-0.3076 0.9814 0.1335 11
-0.3281 0.9748 0.1375 13
-0.4029 0.9660 0.1384 16
-0.3370 0.9676 0.1403 13
-0.4828 0.9769 0.1398 15
-0.3229 0.9777 0.1388 15
-0.3439 0.9702 0.1403 12
-0.2877 0.9738 0.1443 15
-0.3722 0.9765 0.1504 16
-0.6068 0.9706 0.1455 16
-0.4431 0.9676 0.1522 14
-0.3029 0.9664 0.1475 11
-0.3557 0.9710 0.1512 13
-0.4372 0.9840 0.1501 16
-0.4260 0.9731 0.1438 21
-0.4892 0.9678 0.1436 13
-0.4321 0.9690 0.1430 16
-0.4216 0.9656 0.1503 10
-0.5447 0.9722 0.1495 15
-0.2940 0.9782 0.1547 17
-0.1113 0.9763 0.1525 14
-0.2888 0.9772 0.1534 13
-0.4702 0.9753 0.1527 13
-0.3879 0.9629 0.1552 11
-0.4710 0.9667 0.1596 15
-0.5402 0.9721 0.1579 11
-0.2953 0.9684 0.1548 13
-0.5734 0.9749 0.1586 8
-0.3414 0.9724 0.1588 11
-0.1603 0.9731 0.1615 11
-0.4265 0.9699 0.1585 9
-0.4609 0.9670 0.1597 16
-0.4560 0.9720 0.1570 14
-0.5126 0.9780 0.1557 11
-0.4007 0.9672 0.1558 14
-0.4457 0.9724 0.1574 11
-0.3387 0.9694 0.1610 11
-0.4201 0.9617 0.1614 14
-0.3391 0.9740 0.1658 11
-0.3252 0.9632 0.1620 13
-0.2202 0.9721 0.1631 9
-0.2892 0.9635 0.1633 13
-0.2793 0.9692 0.1604 14
-0.4784 0.9598 0.1636 11
-0.2976 0.9707 0.1598 10
-0.3619 0.9726 0.1565 9
-0.1962 0.9670 0.1554 22
-0.4175 0.9748 0.1559 12
-0.4203 0.9626 0.1554 10
-0.4313 0.9712 0.1560 10
-0.3802 0.9604 0.1498 11
-0.3249 0.9617 0.1483 9
-0.3545 0.9771 0.1442 9
-0.4552 0.9756 0.1397 10
-0.5270 0.9745 0.1420 11
-0.3985 0.9722 0.1391 12
-0.3585 0.9635 0.1377 9
-0.4421 0.9669 0.1419 9
-0.3748 0.9765 0.1437 8
-0.5560 0.9713 0.1429 9
-0.1314 0.9765 0.1375 11
-0.3655 0.9757 0.1404 12
-0.5890 0.9763 0.1402 12
-0.5250 0.9767 0.1417 10
-0.4381 0.9736 0.1440 12
-0.5030 0.9720 0.1373 13
-0.2741 0.9674 0.1387 10
-0.2945 0.9737 0.1381 13
-0.3673 0.9784 0.1387 11
-0.3330 0.9684 0.1363 17
-0.3453 0.9745 0.1416 10
-0.4325 0.9706 0.1399 10
-0.2404 0.9772 0.1426 9
-0.5355 0.9779 0.1403 10
-0.3664 0.9846 0.1358 11
-0.4714 0.9767 0.1349 8
-0.3321 0.9760 0.1357 10
-0.4876 0.9779 0.1319 12
-0.2776 0.9769 0.1307 9
-0.4393 0.9744 0.1361 10
-0.3637 0.9796 0.1429 9
-0.3841 0.9768 0.1431 12
-0.2330 0.9704 0.1450 10
-0.4048 0.9715 0.1435 13
-0.3231 0.9667 0.1440 9
-0.3774 0.9749 0.1438 11
-0.2906 0.9775 0.1394 15
-0.4563 0.9788 0.1363 12
-0.4038 0.9833 0.1377 11
-0.4545 0.9698 0.1380 11
-0.3361 0.9671 0.1389 11
-0.5079 0.9792 0.1410 13
-0.5127 0.9734 0.1413 13
-0.4614 0.9679 0.1425 10
-0.2887 0.9712 0.1465 19
-0.2702 0.9694 0.1481 12
-0.3671 0.9825 0.1484 14
-0.1746 0.9731 0.1449 11
-0.2768 0.9704 0.1444 12
-0.3079 0.9757 0.1419 13
-0.3052 0.9746 0.1369 15
-0.3816 0.9736 0.1407 14
-0.2479 0.9798 0.1380 15
-0.1920 0.9717 0.1412 12
-0.4596 0.9776 0.1397 20
-0.4577 0.9792 0.1382 10
-0.4096 0.9710 0.1424 14
-0.4545 0.9717 0.1406 10
-0.2983 0.9687 0.1423 18
-0.4040 0.9728 0.1454 12
-0.3117 0.9802 0.1433 10
-0.6532 0.9782 0.1429 11
-0.2657 0.9736 0.1405 9
-0.1467 0.9777 0.1437 14
-0.3198 0.9673 0.1388 12
-0.4532 0.9714 0.1360 12
-0.4132 0.9877 0.1339 13
-0.6712 0.9738 0.1326 15
-0.3101 0.9813 0.1363 13
-0.3330 0.9810 0.1367 12
-0.5805 0.9845 0.1387 12
-0.6390 0.9787 0.1383 13
-0.3989 0.9745 0.1399 12
-0.0769 0.9753 0.1398 12
-0.2093 0.9790 0.1387 14
-0.3807 0.9781 0.1392 14
-0.3827 0.9836 0.1404 12
-0.4400 0.9807 0.1396 12
-0.3018 0.9681 0.1364 13
-0.4025 0.9753 0.1320 13
-0.2431 0.9743 0.1372 12
-0.4090 0.9664 0.1383 11
-0.2277 0.9662 0.1359 9
-0.2332 0.9744 0.1354 9
-0.5589 0.9783 0.1325 14
-0.4438 0.9768 0.1322 11
-0.3238 0.9780 0.1306 11
-0.6074 0.9876 0.1296 12
-0.5653 0.9852 0.1236 15
-0.2701 0.9829 0.1282 11
-0.4574 0.9816 0.1297 13
-0.6274 0.9810 0.1320 10
-0.5420 0.9795 0.1246 10
-0.2744 0.9783 0.1279 13
-0.1052 0.9826 0.1282 12
-0.0041 0.9862 0.1261 9
-0.2928 0.9848 0.1299 10
-0.2181 0.9810 0.1295 12
-0.3635 0.9747 0.1269 12
-0.4929 0.9789 0.1287 10
-0.4796 0.9738 0.1304 14
-0.5762 0.9783 0.1330 9
-0.3626 0.9708 0.1306 8
-0.2925 0.9777 0.1274 11
-0.3740 0.9703 0.1244 12
-0.5276 0.9826 0.1199 14
-0.5551 0.9834 0.1194 12
-0.3542 0.9735 0.1193 10
-0.4661 0.9754 0.1214 10
-0.3345 0.9761 0.1217 9
-0.3257 0.9811 0.1201 11
-0.3355 0.9829 0.1229 10
-0.5632 0.9769 0.1227 11
-0.3413 0.9782 0.1277 12
-0.3755 0.9833 0.1242 11
-0.6972 0.9787 0.1214 9
-0.3798 0.9786 0.1201 10
-0.2797 0.9706 0.1202 8
-0.3966 0.9744 0.1214 9
-0.3757 0.9802 0.1218 11
-0.3851 0.9764 0.1202 10
-0.2451 0.9797 0.1204 8
-0.2839 0.9794 0.1172 16
-0.5962 0.9841 0.1193 9
-0.5752 0.9748 0.1192 14
-0.3190 0.9823 0.1213 12
-0.5749 0.9761 0.1218 9
-0.3669 0.9838 0.1189 9
-0.4485 0.9765 0.1173 8
-0.3315 0.9767 0.1152 10
-0.2388 0.9848 0.1126 9
-0.4103 0.9798 0.1156 12
-0.6610 0.9813 0.1204 13
-0.5230 0.9730 0.1235 8
-0.3679 0.9799 0.1254 9
-0.3574 0.9790 0.1238 10
-0.4288 0.9701 0.1267 11
-0.5203 0.9746 0.1298 11
-0.6735 0.9793 0.1322 8
-0.3956 0.9684 0.1371 11
-0.4391 0.9805 0.1388 12
-0.5300 0.9766 0.1395 9
-0.2004 0.9723 0.1436 9
-0.4275 0.9721 0.1429 9
-0.6212 0.9669 0.1416 9
-0.3647 0.9725 0.1433 10
-0.4517 0.9733 0.1391 8
-0.4280 0.9718 0.1327 9
-0.4834 0.9728 0.1344 11
-0.2916 0.9790 0.1335 11
-0.2240 0.9771 0.1329 14
-0.4266 0.9698 0.1310 7
-0.6764 0.9751 0.1292 10
-0.5123 0.9856 0.1262 8
-0.5694 0.9692 0.1317 10
-0.4784 0.9724 0.1331 8
-0.3478 0.9809 0.1356 10
-0.4003 0.9746 0.1309 12
-0.5864 0.9866 0.1348 11
-0.0897 0.9784 0.1407 9
-0.4213 0.9745 0.1421 11
-0.3488 0.9688 0.1375 11
-0.2797 0.9828 0.1374 8
-0.2808 0.9728 0.1357 11
-0.4841 0.9726 0.1407 10
-0.3184 0.9729 0.1362 10
-0.5626 0.9736 0.1354 10
-0.5517 0.9642 0.1409 13
-0.4636 0.9758 0.1397 9
-0.5200 0.9766 0.1349 11
-0.4042 0.9753 0.1389 10
-0.3642 0.9735 0.1330 11
-0.3786 0.9699 0.1331 7
-0.3829 0.9673 0.1336 13
-0.3773 0.9767 0.1360 11
-0.5179 0.9761 0.1338 10
-0.2456 0.9801 0.1331 9
-0.2054 0.9803 0.1309 8
-0.4135 0.9748 0.1271 13
-0.5117 0.9805 0.1263 13
-0.6357 0.9777 0.1283 11
-0.3062 0.9781 0.1252 11
-0.4372 0.9730 0.1294 9
-0.3847 0.9807 0.1296 9
-0.3823 0.9663 0.1341 13
-0.2815 0.9711 0.1355 10
-0.3908 0.9823 0.1357 10
-0.2555 0.9692 0.1328 9
-0.4660 0.9812 0.1378 8
-0.4412 0.9791 0.1364 9
-0.7945 0.9844 0.1345 11
-0.6777 0.9759 0.1367 11
-0.4757 0.9812 0.1409 13
-0.4688 0.9754 0.1405 12
-0.4885 0.9736 0.1414 9
-0.4313 0.9688 0.1408 11
-0.4321 0.9717 0.1453 16
-0.4431 0.9637 0.1410 9
-0.4416 0.9657 0.1386 10
-0.4830 0.9769 0.1366 9
-0.4414 0.9608 0.1395 10
-0.4690 0.9691 0.1403 11
-0.4359 0.9725 0.1427 10
-0.3460 0.9645 0.1389 11
-0.3177 0.9778 0.1380 12
-0.3713 0.9663 0.1351 10
-0.5623 0.9795 0.1356 11
-0.0490 0.9821 0.1365 14
-0.4882 0.9773 0.1341 9
-0.1343 0.9765 0.1333 12
-0.5536 0.9730 0.1317 9
-0.3154 0.9784 0.1324 11
-0.4463 0.9731 0.1341 9
-0.3593 0.9717 0.1327 10
-0.2798 0.9745 0.1357 10
-0.4876 0.9707 0.1285 10
-0.3305 0.9763 0.1319 10
-0.2753 0.9742 0.1311 12
-0.5326 0.9676 0.1319 13
-0.5290 0.9725 0.1369 13
-0.3696 0.9717 0.1363 9
-0.6279 0.9729 0.1335 9
-0.3030 0.9775 0.1338 9
-0.4756 0.9673 0.1385 9
-0.4000 0.9738 0.1392 11
-0.3795 0.9818 0.1404 7
-0.4301 0.9769 0.1392 9
-0.4156 0.9635 0.1406 8
-0.4566 0.9677 0.1400 9
-0.2946 0.9744 0.1371 13
-0.3312 0.9730 0.1389 8
-0.2910 0.9667 0.1412 8
-0.3348 0.9715 0.1388 11
-0.4036 0.9612 0.1384 9
-0.3447 0.9713 0.1386 10
-0.4366 0.9729 0.1381 9
-0.3834 0.9758 0.1427 8
-0.2867 0.9741 0.1404 10
-0.4909 0.9696 0.1364 9
-0.5728 0.9678 0.1352 10
-0.3105 0.9752 0.1357 9
-0.1522 0.9768 0.1370 10
-0.4826 0.9730 0.1380 9
-0.3850 0.9684 0.1403 10
-0.4117 0.9699 0.1396 9
-0.4973 0.9734 0.1404 10
-0.4660 0.9707 0.1399 10
-0.4268 0.9649 0.1459 10
-0.4364 0.9653 0.1463 13
-0.2782 0.9599 0.1486 10
-0.5310 0.9611 0.1411 11
-0.5707 0.9709 0.1400 12
-0.5398 0.9732 0.1444 9
-0.4260 0.9672 0.1426 8
-0.5859 0.9765 0.1386 8
-0.3649 0.9747 0.1354 8
-0.5467 0.9734 0.1374 11
-0.4324 0.9714 0.1380 8
-0.3839 0.9692 0.1342 10
-0.2903 0.9731 0.1382 8
-0.5676 0.9735 0.1320 10
-0.4927 0.9716 0.1330 11
-0.3074 0.9795 0.1287 9
-0.6118 0.9748 0.1285 9
-0.2351 0.9780 0.1289 7
-0.4543 0.9736 0.1284 8
-0.4483 0.9779 0.1280 10
-0.4863 0.9759 0.1335 7
-0.5097 0.9761 0.1325 9
-0.3727 0.9762 0.1333 9
-0.3306 0.9766 0.1319 8
-0.3400 0.9758 0.1327 11
-0.4624 0.9709 0.1321 11
-0.4878 0.9780 0.1311 10
-0.1941 0.9841 0.1298 8
0.3082 0.9897 0.1332 9
-0.2522 0.9846 0.1340 10
-0.5515 0.9790 0.1322 9
-0.5184 0.9788 0.1279 10
-0.3849 0.9732 0.1251 8
-0.3655 0.9783 0.1235 9
-0.4101 0.9747 0.1265 9
-0.3242 0.9798 0.1253 9
-0.4201 0.9774 0.1280 8
-0.2862 0.9869 0.1307 9
-0.4889 0.9786 0.1321 9
-0.6129 0.9830 0.1319 9
-0.3029 0.9797 0.1337 9
-0.4786 0.9806 0.1350 11
-0.4012 0.9841 0.1336 9
-0.6722 0.9808 0.1314 10
-0.3458 0.9736 0.1265 9
-0.3054 0.9828 0.1297 8
-0.5276 0.9754 0.1322 11
-0.4517 0.9814 0.1271 8
-0.6756 0.9840 0.1278 8
-0.1034 0.9840 0.1309 9
-0.2685 0.9790 0.1310 10
-0.4577 0.9811 0.1284 8
-0.3500 0.9804 0.1305 7
-0.4739 0.9806 0.1291 8
-0.6292 0.9819 0.1293 8
-0.3672 0.9872 0.1276 8
-0.6354 0.9850 0.1302 8
-0.6437 0.9823 0.1299 8
-0.2877 0.9747 0.1263 9
-0.3603 0.9741 0.1314 9
-0.5398 0.9732 0.1336 9
-0.5390 0.9843 0.1349 9
-0.2876 0.9767 0.1348 10
-0.4705 0.9725 0.1362 8
-0.3728 0.9807 0.1348 10
-0.5272 0.9715 0.1324 10
-0.4579 0.9795 0.1359 9
-0.5946 0.9803 0.1330 7
-0.5208 0.9846 0.1351 8
-0.3577 0.9774 0.1343 8
-0.4769 0.9770 0.1296 9
-0.4034 0.9755 0.1313 8
-0.6023 0.9831 0.1323 8
-0.5168 0.9797 0.1258 11
-0.3156 0.9865 0.1206 9
-0.2377 0.9827 0.1197 10
-0.2819 0.9858 0.1197 8
-0.2232 0.9874 0.1173 11
-0.6661 0.9793 0.1179 9
-0.3454 0.9849 0.1222 9
-0.2737 0.9790 0.1207 8
-0.5670 0.9816 0.1196 8
-0.3938 0.9756 0.1182 11
-0.4613 0.9862 0.1172 8
-0.1024 0.9808 0.1207 10
-0.5428 0.9785 0.1190 9
-0.3503 0.9853 0.1266 8
-0.5486 0.9820 0.1270 8
-0.1172 0.9789 0.1280 9
-0.2228 0.9846 0.1292 8
-0.2367 0.9760 0.1302 9
-0.3545 0.9847 0.1240 10
-0.3305 0.9788 0.1228 9
-0.3049 0.9851 0.1258 11
-0.3665 0.9820 0.1277 8
-0.4269 0.9856 0.1327 8
-0.3050 0.9882 0.1291 9
-0.1756 0.9848 0.1282 8
-0.4919 0.9708 0.1278 9
-0.5844 0.9826 0.1308 8
-0.7149 0.9781 0.1356 7
-0.3968 0.9802 0.1300 9
-0.6627 0.9747 0.1267 8
-0.4762 0.9762 0.1275 11
-0.2563 0.9824 0.1323 10
-0.2780 0.9772 0.1298 8
-0.5624 0.9749 0.1329 8
-0.2884 0.9876 0.1274 8
-0.7699 0.9804 0.1271 8
-0.3171 0.9856 0.1283 10
-0.2201 0.9810 0.1336 9
-0.5288 0.9820 0.1366 9
-0.3805 0.9891 0.1311 9
-0.5449 0.9764 0.1290 8
-0.5024 0.9766 0.1245 8
-0.1721 0.9804 0.1297 8
-0.3818 0.9815 0.1261 10
-0.6060 0.9878 0.1278 8
-0.2842 0.9789 0.1258 9
-0.4746 0.9827 0.1281 8
-0.3797 0.9815 0.1249 8
-0.3195 0.9839 0.1228 9
-0.6183 0.9887 0.1218 9
-0.3938 0.9837 0.1174 10
-0.6123 0.9838 0.1166 10
-0.2928 0.9880 0.1138 8
-0.4876 0.9800 0.1132 8
-0.5209 0.9887 0.1156 8
0.0056 0.9886 0.1182 9
-0.5366 0.9799 0.1188 9
-0.5506 0.9878 0.1175 9
-0.2345 0.9874 0.1150 8
-0.7749 0.9836 0.1177 7
-0.3010 0.9858 0.1210 8
-0.1779 0.9897 0.1207 9
-0.1763 0.9819 0.1192 7
-0.4841 0.9856 0.1190 7
-0.4484 0.9794 0.1222 10
-0.5129 0.9809 0.1179 8
-0.4511 0.9869 0.1182 8
-0.1155 0.9864 0.1196 11
-0.4518 0.9860 0.1211 7
-0.3689 0.9831 0.1227 8
-0.3915 0.9847 0.1237 9
-0.9605 0.9909 0.1243 8
0.1653 0.9904 0.1180 9
-0.5217 0.9782 0.1217 8
-0.4836 0.9836 0.1235 8
-0.5530 0.9875 0.1230 8
-0.4011 0.9879 0.1232 9
-0.2542 0.9849 0.1209 9
-0.2436 0.9813 0.1216 7
-0.1593 0.9814 0.1162 8
-0.4538 0.9824 0.1139 9
-0.3983 0.9888 0.1148 9
-0.3653 0.9847 0.1161 8
-0.3711 0.9906 0.1139 10
-0.5564 0.9911 0.1135 9
-0.6324 0.9820 0.1162 8
-0.5939 0.9909 0.1141 9
-0.2590 0.9832 0.1104 8
-0.5657 0.9877 0.1128 9
-0.5579 0.9845 0.1097 8
-0.4572 0.9896 0.1113 8
-0.6165 0.9862 0.1105 11
-0.2393 0.9835 0.1116 7
-0.2259 0.9877 0.1113 9
-0.3907 0.9886 0.1053 8
-0.3952 0.9841 0.1051 9
-0.4380 0.9833 0.1058 10
-0.5573 0.9907 0.1032 8
-0.1326 0.9858 0.1007 8
-0.3319 0.9898 0.1028 9
-0.6377 0.9902 0.0996 10
-0.6400 0.9906 0.0983 8
-0.4249 0.9905 0.0996 7
-0.2526 0.9859 0.0991 8
-0.3027 0.9893 0.1007 9
-0.4673 0.9880 0.0988 7
-0.3291 0.9790 0.1040 7
-0.5315 0.9851 0.1050 8
-0.2376 0.9852 0.1021 10
-0.5589 0.9867 0.1076 8
-0.3988 0.9809 0.1038 9
-0.5436 0.9835 0.1029 9
-0.3007 0.9840 0.1023 9
-0.5095 0.9842 0.1039 11
-0.1646 0.9899 0.1039 7
-0.3843 0.9856 0.1039 9
-0.6094 0.9815 0.1010 9
-0.3939 0.9808 0.1008 9
-0.4442 0.9830 0.1031 8
-0.4728 0.9863 0.1046 8
-0.2031 0.9858 0.1041 12
-0.4765 0.9814 0.1067 7
-0.5738 0.9836 0.1066 11
-0.4110 0.9834 0.1063 9
-0.3449 0.9862 0.1081 8
-0.0543 0.9880 0.1098 9
-0.6392 0.9802 0.1061 8
-0.3980 0.9842 0.1079 8
-0.3795 0.9836 0.1062 9
-0.5407 0.9795 0.1054 8
-0.4569 0.9907 0.1013 9
-0.3025 0.9838 0.1021 8
-0.2848 0.9950 0.0984 8
-1.0066 0.9892 0.0998 9
-0.6178 0.9820 0.1005 9
-0.3807 0.9865 0.1017 9
-0.6351 0.9839 0.1022 8
-0.4383 0.9855 0.1035 8
-0.6357 0.9813 0.1024 8
-0.5344 0.9813 0.1055 7
-0.5760 0.9866 0.1029 8
-0.4373 0.9844 0.1029 9
-0.2343 0.9953 0.1052 9
-1.1054 0.9869 0.1042 11
0.1283 0.9899 0.1066 8
-0.3771 0.9839 0.1087 7
-0.5289 0.9897 0.1062 8
-0.4860 0.9861 0.1063 8
-0.4992 0.9712 0.1084 8
-0.5243 0.9839 0.1039 7
-0.4130 0.9850 0.1046 9
-0.3159 0.9954 0.1037 8
0.8139 0.9957 0.1015 8
-0.6737 0.9802 0.1008 8
-0.4922 0.9873 0.1032 8
-0.1731 0.9880 0.1033 8
-0.3816 0.9879 0.1015 8
-0.3623 0.9872 0.1011 7
-0.5141 0.9894 0.1020 8
-0.1920 0.9851 0.1026 8
-0.3625 0.9907 0.1000 7
-0.4580 0.9872 0.0966 9
-0.3464 0.9873 0.0950 8
-0.4621 0.9896 0.0973 8
-0.3592 0.9849 0.0983 7
-0.4802 0.9873 0.0993 8
-0.7929 0.9899 0.0982 11
-0.2455 0.9920 0.0995 9
-0.3535 0.9824 0.0986 9
-0.3533 0.9884 0.0958 7
-0.7439 0.9895 0.0966 8
-0.4453 0.9884 0.0993 7
-0.4439 0.9906 0.0991 7
-0.3443 0.9858 0.0987 10
-0.5306 0.9824 0.0968 8
-0.4938 0.9882 0.0965 10
-0.0621 0.9909 0.0964 8
-0.2241 0.9914 0.0975 7
0.0576 0.9895 0.0956 8
-0.5259 0.9853 0.0935 8
-0.6828 0.9858 0.0940 9
-0.4589 0.9859 0.0915 7
-0.5893 0.9896 0.0900 8
-0.2005 0.9872 0.0878 8
-0.3498 0.9893 0.0897 8
-0.6874 0.9904 0.0915 8
-0.3184 0.9905 0.0891 7
-0.2093 0.9927 0.0874 9
-0.2391 0.9894 0.0890 7
-0.3586 0.9842 0.0874 7
-0.4143 0.9934 0.0887 9
-0.1537 0.9877 0.0890 7
-0.3006 0.9837 0.0881 8
-0.4124 0.9887 0.0898 7
-0.3787 0.9920 0.0907 9
-0.0695 0.9920 0.0890 8
-0.2274 0.9887 0.0934 7
-0.6749 0.9927 0.0973 9
-0.2947 0.9871 0.0951 7
-0.3765 0.9909 0.0926 8
-0.2790 0.9900 0.0911 8
-0.4700 0.9891 0.0944 7
-0.3042 0.9841 0.0924 7
-0.3808 0.9971 0.0910 9
1.3806 0.9984 0.0884 10
-0.2313 0.9897 0.0900 8
-0.5714 0.9919 0.0882 8
-0.4820 0.9876 0.0911 8
-0.3149 0.9819 0.0907 9
-0.4530 0.9867 0.0884 9
-0.6280 0.9914 0.0874 8
-0.5820 0.9900 0.0880 7
-0.2753 0.9855 0.0873 8
-0.4548 0.9863 0.0874 9
-0.5040 0.9896 0.0858 8
-0.3649 0.9952 0.0852 8
0.2422 0.9963 0.0832 10
-0.0738 0.9918 0.0860 6
-0.4135 0.9873 0.0873 7
-0.5107 0.9862 0.0851 8
-0.2700 0.9880 0.0880 8
-0.4706 0.9829 0.0897 8
-0.4811 0.9905 0.0901 8
-0.5609 0.9880 0.0904 9
-0.6503 0.9905 0.0888 7
-0.7098 0.9861 0.0867 9
-0.5768 0.9943 0.0883 10
-0.1702 0.9890 0.0882 9
-0.4177 0.9861 0.0880 9
-0.3451 0.9928 0.0914 8
-0.4269 0.9833 0.0897 8
-0.3152 0.9897 0.0905 9
-0.1698 0.9911 0.0932 10
-0.2122 0.9891 0.0956 7
-0.3030 0.9876 0.0950 8
-0.6105 0.9850 0.0994 9
-0.5030 0.9869 0.1017 8
-0.3255 0.9925 0.0994 10
-0.4422 0.9893 0.0999 9
-0.0392 0.9893 0.1006 11
-0.4608 0.9855 0.0986 9
-0.4146 0.9842 0.0958 10
-0.3592 0.9889 0.0967 7
-0.4485 0.9916 0.0982 12
-0.3953 0.9867 0.0984 8
-0.1449 0.9867 0.0994 9
-0.4297 0.9765 0.1002 9
-0.2941 0.9876 0.1005 8
-0.5763 0.9855 0.1015 9
-0.4242 0.9847 0.1048 8
-0.4329 0.9801 0.1050 8
-0.3403 0.9832 0.1080 9
-0.6187 0.9853 0.1065 8
-0.3661 0.9907 0.1070 9
-0.4503 0.9840 0.1061 9
-0.2632 0.9825 0.1041 8
-0.3323 0.9924 0.1076 8
-0.4156 0.9844 0.1004 9
-0.4493 0.9877 0.1006 8
-0.0954 0.9878 0.1012 8
-0.4589 0.9821 0.0970 9
-0.3892 0.9790 0.0997 10
-0.3199 0.9837 0.1031 10
-0.3539 0.9828 0.1035 9
-0.2625 0.9876 0.1000 10
-0.3305 0.9785 0.1029 9
-0.3043 0.9813 0.1040 9
-0.4616 0.9827 0.1025 11
-0.4568 0.9873 0.1028 10
-0.3823 0.9840 0.1060 9
-0.5757 0.9870 0.1073 8
-0.4513 0.9878 0.1074 9
-0.2982 0.9838 0.1071 9
-0.4930 0.9832 0.1070 9
-0.7636 0.9846 0.1073 8
-0.3025 0.9799 0.1042 11
-0.3814 0.9843 0.1052 11
-0.5821 0.9784 0.1036 9
-0.4484 0.9919 0.1061 9
-0.5529 0.9801 0.1040 8
-0.4169 0.9835 0.1034 10
-0.3376 0.9897 0.1057 11
-0.2495 0.9869 0.1084 9
-0.6427 0.9804 0.1130 8
-0.5102 0.9843 0.1091 12
-0.3588 0.9807 0.1122 10
-0.5146 0.9746 0.1139 8
-0.3019 0.9829 0.1080 10
-0.3611 0.9828 0.1064 11
-0.4106 0.9848 0.1069 9
-0.4081 0.9887 0.1083 9
-0.0936 0.9857 0.1135 10
-0.5274 0.9830 0.1134 9
-0.5037 0.9837 0.1144 10
-0.5622 0.9831 0.1120 11
-0.6112 0.9808 0.1155 10
-0.6299 0.9800 0.1151 10
-0.6007 0.9869 0.1151 9
-0.2705 0.9806 0.1156 9
-0.2700 0.9865 0.1117 9
-0.1092 0.9867 0.1100 11
-0.5307 0.9758 0.1179 9
-0.3348 0.9793 0.1177 10
-0.4412 0.9853 0.1162 11
-0.4023 0.9802 0.1162 12
-0.4356 0.9806 0.1190 9
-0.4049 0.9809 0.1183 9
-0.1389 0.9866 0.1182 9
-0.5150 0.9797 0.1203 11
-0.6288 0.9792 0.1169 9
-0.6156 0.9820 0.1205 8
-0.6659 0.9828 0.1201 9
-0.4893 0.9756 0.1176 8
-0.3800 0.9836 0.1185 9
-0.3186 0.9823 0.1184 8
